
----------new scenario----------
channel 1 ,chip 2 ,die 1 ,getting superblock 0 as Data WF for flow 1
channel 1 ,chip 2 ,die 1 ,getting superblock 0 as Translation WF for flow 1
channel 1 ,chip 2 ,die 1 ,getting superblock 0 as GC WF for flow 1
channel 1 ,chip 3 ,die 0 ,getting superblock 0 as Data WF for flow 0
channel 1 ,chip 3 ,die 0 ,getting superblock 0 as Translation WF for flow 0
channel 1 ,chip 3 ,die 0 ,getting superblock 0 as GC WF for flow 0
channel 1 ,chip 3 ,die 0 ,getting superblock 0 as Data WF for flow 1
channel 1 ,chip 3 ,die 0 ,getting superblock 0 as Translation WF for flow 1
channel 1 ,chip 3 ,die 0 ,getting superblock 0 as GC WF for flow 1
channel 1 ,chip 3 ,die 1 ,getting superblock 0 as Data WF for flow 0
channel 1 ,chip 3 ,die 1 ,getting superblock 0 as Translation WF for flow 0
channel 1 ,chip 3 ,die 1 ,getting superblock 0 as GC WF for flow 0
channel 1 ,chip 3 ,die 1 ,getting superblock 0 as Data WF for flow 1
channel 1 ,chip 3 ,die 1 ,getting superblock 0 as Translation WF for flow 1
channel 1 ,chip 3 ,die 1 ,getting superblock 0 as GC WF for flow 1
channel 2 ,chip 0 ,die 0 ,getting superblock 0 as Data WF for flow 0
channel 2 ,chip 0 ,die 0 ,getting superblock 0 as Translation WF for flow 0
channel 2 ,chip 0 ,die 0 ,getting superblock 0 as GC WF for flow 0
channel 2 ,chip 0 ,die 0 ,getting superblock 0 as Data WF for flow 1
channel 2 ,chip 0 ,die 0 ,getting superblock 0 as Translation WF for flow 1
channel 2 ,chip 0 ,die 0 ,getting superblock 0 as GC WF for flow 1
channel 2 ,chip 0 ,die 1 ,getting superblock 0 as Data WF for flow 0
channel 2 ,chip 0 ,die 1 ,getting superblock 0 as Translation WF for flow 0
channel 2 ,chip 0 ,die 1 ,getting superblock 0 as GC WF for flow 0
channel 2 ,chip 0 ,die 1 ,getting superblock 0 as Data WF for flow 1
channel 2 ,chip 0 ,die 1 ,getting superblock 0 as Translation WF for flow 1
channel 2 ,chip 0 ,die 1 ,getting superblock 0 as GC WF for flow 1
channel 2 ,chip 1 ,die 0 ,getting superblock 0 as Data WF for flow 0
channel 2 ,chip 1 ,die 0 ,getting superblock 0 as Translation WF for flow 0
channel 2 ,chip 1 ,die 0 ,getting superblock 0 as GC WF for flow 0
channel 2 ,chip 1 ,die 0 ,getting superblock 0 as Data WF for flow 1
